Id,Sexo,Estatura,Peso,Carrera,Horas estudio (sem),Horas recreación (P)(SEM),Horas recreación (A)(SEM),Horas sueño (D),Traslado Casa-Uni (min),Trabajo
1,M,1.86,146.40,LSTI,5,20,5,6,80,SI
2,M,1.85,130.00,LMAD,5,20,10,5,180,NO
3,M,1.84,110.00,LF,2,1,2,7,50,NO
4,M,1.82,78.50,LMAD,10,15,8,6,120,NO
5,M,1.82,78.80,LSTI,3,12,0,8,60,SI
6,M,1.80,80.00,LF,10,5,10,7,120,NO
7,M,1.79,92.00,LA,17,10,1,8,50,NO
8,M,1.79,96.00,LA,18,20,8,4,75,SI
9,M,1.78,85.00,LMAD,10,20,0,7,50,SI
10,M,1.77,76.20,LA,7,21,3.5,6,30,NO
11,M,1.77,87.00,LSTI,0,15,8,8,15,SI
12,M,1.76,108.50,LMAD,0,15,5,7,90,NO
13,M,1.76,58.80,LA,20,12,1,6,70,SI
14,M,1.75,83.00,LMAD,13,15,7,7,110,NO
15,M,1.75,84.80,LA,3,10,7,7,120,NO
16,M,1.75,86.50,LSTI,5,10,5,8,120,SI
17,M,1.74,95.00,LCC,4,10,0,7,50,SI
18,M,1.73,54.60,LSTI,5,4,2,8,60,NO
19,M,1.73,69.50,LMAD,2,20,15,6,75,NO
20,M,1.73,91.50,LCC,5,2,1,5,130,SI
21,F,1.72,53.40,LM,4,4,0,6,45,NO
22,M,1.72,63.00,LA,2,20,0,6,120,NO
23,M,1.72,65.50,LSTI,3,12,0,7,90,NO
24,M,1.72,69.00,LMAD,20,12,0,7,60,NO
25,M,1.72,60.00,LA,20,15,3,5,120,SI
26,M,1.71,60.50,LA,5,20,0,8,60,NO
27,M,1.71,95.00,LSTI,5,10,10,7,60,SI
28,M,1.70,81.50,LCC,8,20,10,7,30,SI
29,M,1.70,68.00,LM,10,15,0,7,40,SI
30,M,1.70,85.00,LCC,7,5,4,8,45,SI
31,M,1.69,71.80,LA,2,10,12,8,30,NO
32,M,1.69,88.50,LM,0,20,0,7,60,NO
33,M,1.69,68.00,LF,14,19,0,8,50,NO
34,M,1.69,58.00,LMAD,9,4,0,6,40,NO
35,M,1.68,69.00,LMAD,3,8,2,6,50,NO
36,M,1.68,50.00,LF,5,10,5,9,140,NO
37,M,1.68,100.00,LCC,4,4,4,8,105,NO
38,M,1.68,48.00,LMAD,10,15,2,10,90,NO
39,M,1.68,105.00,LM,4,10,0,7,50,NO
40,M,1.67,49.00,LF,4,9,2,8,120,NO
41,M,1.66,85.00,LF,17,15,10,4.5,15,NO
42,M,1.66,70.50,LSTI,1,8,1,6,60,SI
43,M,1.66,52.00,LCC,5,10,5,7,15,NO
44,M,1.66,110.00,LF,10,10,5,8,20,NO
45,M,1.66,57.70,LA,12,14,0,5,100,SI
46,F,1.65,70.50,LM,7,14,4,6,120,NO
47,M,1.65,55.50,LF,15,40,0,7,45,NO
48,M,1.64,101.50,LCC,4,15,3,6,50,NO
49,M,1.64,57.20,LCC,10,8,2,8,120,NO
50,M,1.62,70.80,LA,20,15,0,6.5,60,NO
51,M,1.61,56.00,LMAD,12,2,1,5,90,NO
52,M,1.60,68.00,LCC,10,12,5,8,120,NO
53,M,1.60,70.60,LSTI,5,5,14,8,30,NO
54,F,1.60,58.00,LM,5,14,0,8,60,NO
55,F,1.60,57.50,LF,20,5,5,7,45,SI
56,M,1.59,47.00,LSTI,5,10,3,7,90,SI
57,F,1.58,67.50,LMAD,40,10,8,6.5,20,NO
58,F,1.58,47.00,LF,1,5,0,7,60,NO
59,F,1.58,70.70,LMAD,6,10,7,7,25,NO
60,F,1.57,45.50,LA,18,14,0,6,60,SI
61,F,1.57,47.00,LMAD,5,15,5,6,120,NO
62,F,1.56,77.50,LA,15,10,7,6,120,SI
63,F,1.55,68.00,LF,12,10,0,6,10,SI
64,F,1.55,46.20,LCC,10,12,0,5,120,SI
65,F,1.54,51.00,LMAD,5,15,5,8,150,NO
66,F,1.53,47.20,LCC,10,10,8,8,40,NO
67,F,1.51,46.00,LMAD,5,4,2,5,120,NO
68,F,1.51,34.00,LM,0,20,0,9,30,NO
69,F,1.50,48.70,LMAD,3,5,0.5,8.5,35,NO
70,F,1.50,50.50,LA,4,12,6,8,30,SI
71,F,1.48,48.70,LA,20,5,6,7,30,SI
72,F,1.46,56.00,LMAD,6,3,1,4,15,NO
73,F,1.64,80.5,LM,5,15,15,5,25,SI
74,M,1.71,77.86,LCC,5,9,2,8,50,Si
75,M,1.71,77.86,LMAD,4,9,1,7,90,NO
76,M,1.71,77.86,LMAD,15,7,0,6,90,NO
77,M,1.71,77.86,LSTI,10,12,10,7,145,SI
78,M,1.71,77.86,LSTI,2,12,10,6,30,SI
79,F,1.56,55.78,LA,3,4,0,5,90,SI
80,M,1.71,77.86,LSTI,10,25,5,5,35,SI
81,M,1.71,77.86,LSTI,5,15,4,6,50,SI
